file,source_id,company_id,period,type,url,title,language
official/source_asml_annual_reports.html,source_asml_annual_reports,NL_ASML,2026,annual_report,https://www.asml.com/investors/annual-report,ASML annual reports,en-US
official/source_asml_financial_results.html,source_asml_financial_results,NL_ASML,2026,financial_report,https://www.asml.com/investors/financial-results,ASML financial results,en-US
official/source_delta_2024_annual_report.html,source_delta_2024_annual_report,TWSE_2308,2024,annual_report,https://landing.deltaww.com/zh-TW/Investors/annual-Reports,Delta Electronics 2024 Annual Report,zh-TW
official/source_delta_2025_chairman_statement.html,source_delta_2025_chairman_statement,TWSE_2308,2025,company_website,https://www.deltaww.com/zh-TW/investors/chairman-statement,Delta Electronics 2025 Chairman Statement,zh-TW
official/source_delta_2025_force_gt_ai_datacenter.html,source_delta_2025_force_gt_ai_datacenter,TWSE_2308,2025,company_website,https://www.deltaww.com/zh-TW/press/39905,Delta Force-GT AI Data Center Power and Liquid Cooling Source,zh-TW
official/source_delta_2025_q3_financial_report.html,source_delta_2025_q3_financial_report,TWSE_2308,2025Q3,financial_report,https://landing.deltaww.com/zh-TW/Investors/financial-Reports,Delta Electronics 2025 Q3 Financial Report,zh-TW
official/source_delta_2025_q3_results_news.html,source_delta_2025_q3_results_news,TWSE_2308,2025Q3,company_website,https://landing.deltaww.com/en-us/news/39958,Delta Electronics Announces 2025-Q3 Financial Results,en-US
sample_ai_server_chain.txt,source_doc_sample_aiserver,TWSE_2382,2026,news,,AI 伺服器供應鏈報導（樣本文件）,zh-TW
sample_quanta_page.html,source_doc_sample_quanta,TWSE_2382,2026,company_website,,廣達公司簡介頁（樣本 HTML）,zh-TW
sample_tsmc_supply_chain.txt,source_doc_sample_tsmc,TWSE_2330,2026,company_website,,台積電供應鏈概況（樣本文件）,zh-TW
official/source_samsung_electronics_financial_statements.html,source_samsung_electronics_financial_statements,KR_005930,2026,financial_report,https://www.samsung.com/global/ir/financial-information/audited-financial-statements/,Samsung Electronics financial statements,en-US
official/source_samsung_electronics_ir.html,source_samsung_electronics_ir,KR_005930,2026,company_website,https://www.samsung.com/global/ir/,Samsung Electronics investor relations,en-US
official/source_sec_aapl_2025_10k.htm,source_sec_aapl_2025_10k,US_AAPL,2025,annual_report,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,Apple Inc. latest SEC 10-K,en-US
official/source_sec_aapl_2026_10q.htm,source_sec_aapl_2026_10q,US_AAPL,2026,financial_report,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,Apple Inc. latest SEC 10-Q,en-US
official/source_sec_aapl_submissions.json,source_sec_aapl_submissions,US_AAPL,2026,exchange_data,https://data.sec.gov/submissions/CIK0000320193.json,AAPL SEC submissions JSON,en-US
official/source_sec_abbv_2025_10k.htm,source_sec_abbv_2025_10k,US_ABBV,2025,annual_report,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000008/abbv-20251231.htm,AbbVie Inc. latest SEC 10-K,en-US
official/source_sec_abbv_2026_10q.htm,source_sec_abbv_2026_10q,US_ABBV,2026,financial_report,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000017/abbv-20260331.htm,AbbVie Inc. latest SEC 10-Q,en-US
official/source_sec_abbv_submissions.json,source_sec_abbv_submissions,US_ABBV,2026,exchange_data,https://data.sec.gov/submissions/CIK0001551152.json,ABBV SEC submissions JSON,en-US
